date,sentiment,Adj Close,Week_Number,month,year
2018-12-04,0,71.94000244140625,49,12,2018
2018-12-07,-1,71.59400177001953,49,12,2018
2018-12-10,0,73.02999877929688,50,12,2018
2018-12-11,-1,73.35199737548828,50,12,2018
2018-12-12,2,73.31999969482422,50,12,2018
2018-12-13,4,75.35800170898438,50,12,2018
2018-12-14,1,73.14199829101562,50,12,2018
2018-12-18,0,67.40599822998047,51,12,2018
2018-12-19,-1,66.59400177001953,51,12,2018
2018-12-20,1,63.07600021362305,51,12,2018
2018-12-24,-2,59.077999114990234,52,12,2018
2018-12-26,-2,65.21800231933594,52,12,2018
2018-12-27,-1,63.22600173950195,52,12,2018
2018-12-28,2,66.77400207519531,52,12,2018
2018-12-31,0,66.55999755859375,1,12,2018
2019-01-02,3,62.02399826049805,1,1,2019
2019-01-03,2,60.071998596191406,1,1,2019
2019-01-04,-1,63.53799819946289,1,1,2019
2019-01-07,7,66.99199676513672,2,1,2019
2019-01-08,8,67.06999969482422,2,1,2019
2019-01-09,4,67.70600128173828,2,1,2019
2019-01-10,2,68.99400329589844,2,1,2019
2019-01-11,2,69.4520034790039,2,1,2019
2019-01-14,1,66.87999725341797,3,1,2019
2019-01-15,1,68.88600158691406,3,1,2019
2019-01-16,0,69.20999908447266,3,1,2019
2019-01-18,2,60.45199966430664,3,1,2019
2019-01-22,-2,59.784000396728516,4,1,2019
2019-01-23,1,57.518001556396484,4,1,2019
2019-01-24,2,58.301998138427734,4,1,2019
2019-01-25,1,59.40800094604492,4,1,2019
2019-01-28,3,59.2760009765625,5,1,2019
2019-01-29,3,59.492000579833984,5,1,2019
2019-01-30,1,61.75400161743164,5,1,2019
2019-01-31,1,61.40399932861328,5,1,2019
2019-02-01,3,62.44200134277344,5,2,2019
2019-02-04,0,62.577999114990234,6,2,2019
2019-02-05,2,64.2699966430664,6,2,2019
2019-02-06,1,63.444000244140625,6,2,2019
2019-02-07,2,61.50199890136719,6,2,2019
2019-02-08,0,61.15999984741211,6,2,2019
2019-02-11,0,62.56800079345703,7,2,2019
2019-02-12,0,62.36199951171875,7,2,2019
2019-02-13,0,61.63399887084961,7,2,2019
2019-02-14,0,60.75400161743164,7,2,2019
2019-02-15,2,61.57600021362305,7,2,2019
2019-02-19,1,61.12799835205078,8,2,2019
2019-02-20,1,60.512001037597656,8,2,2019
2019-02-21,2,58.24599838256836,8,2,2019
2019-02-22,1,58.94200134277344,8,2,2019
2019-02-25,3,59.75400161743164,9,2,2019
